date,vertical,transaction_count,avg_transaction_value,total_processing_volume,authorization_rate,decline_rate,fraud_rate,chargeback_rate,refund_rate,payment_success_rate,take_rate,payment_revenue,processing_cost,net_revenue,margin,cost_per_transaction,trial_to_paid_rate,involuntary_churn_rate,dunning_recovery_rate,mrr,net_revenue_retention,latency_ms,uptime,failed_payment_recovery_rate
2023-01-01,Camps,182,287.95,52406.1,0.9228,0.0772,0.0065,0.008,0.0278,0.936,0.0244,1280.25,49.16,1231.1,0.9616,0.27,0.2329,0.0425,0.3254,32313.58,1.1053,120.5,0.999862,0.5279
2023-01-01,Associations,393,205.05,80584.93,0.9402,0.0598,0.003,0.0081,0.0156,0.9475,0.0231,1863.85,119.13,1744.72,0.9361,0.3,0.4705,0.02,0.5314,46555.88,0.8911,533.1,0.995836,0.2793
2023-01-01,Sports Leagues,168,339.52,57038.99,0.9666,0.0334,0.0031,0.003,0.0374,0.9564,0.0197,1124.15,52.7,1071.45,0.9531,0.31,0.1927,0.0555,0.4165,34152.47,0.9548,473.6,0.997679,0.3332
2023-01-01,Nonprofits,270,301.9,81512.15,0.9415,0.0585,0.0038,0.0113,0.0391,0.9496,0.026,2118.19,86.57,2031.62,0.9591,0.32,0.5356,0.0522,0.6363,45802.3,1.0208,776.4,0.997974,0.3742
2023-01-01,Pet Care,236,289.67,68362.14,0.9152,0.0848,0.0079,0.0097,0.0179,0.9303,0.0294,2010.97,87.52,1923.45,0.9565,0.37,0.4497,0.0486,0.3333,34696.5,0.9078,706.9,0.998054,0.3989
2023-01-01,Education,127,158.1,20078.64,0.9568,0.0432,0.0057,0.0079,0.021,0.9637,0.0234,469.06,56.18,412.88,0.8802,0.44,0.4941,0.0461,0.4062,9573.91,0.8897,603.3,0.995543,0.4477
2023-01-02,Camps,258,54.59,14083.16,0.9545,0.0455,0.0032,0.0071,0.0463,0.945,0.0237,334.41,99.07,235.34,0.7037,0.38,0.2647,0.0138,0.4304,6314.42,1.1031,669.5,0.998104,0.6422
2023-01-02,Associations,107,111.62,11943.8,0.9392,0.0608,0.0072,0.0052,0.0149,0.9514,0.0307,366.62,27.12,339.5,0.926,0.25,0.4196,0.01,0.4587,5869.6,0.9195,483.2,0.997376,0.5616
2023-01-02,Sports Leagues,313,147.97,46315.43,0.976,0.024,0.0033,0.0072,0.0381,0.9518,0.0316,1463.8,137.68,1326.12,0.9059,0.44,0.2732,0.0349,0.4354,22483.93,0.8889,534.5,0.997463,0.2732
2023-01-02,Nonprofits,303,322.02,97572.39,0.9268,0.0732,0.002,0.0069,0.0494,0.9445,0.0274,2674.45,116.85,2557.6,0.9563,0.39,0.2679,0.0464,0.4655,57537.63,1.032,484.3,0.995442,0.6259
2023-01-02,Pet Care,203,200.0,40600.13,0.9587,0.0413,0.007,0.0053,0.0188,0.9727,0.0293,1190.92,55.65,1135.27,0.9533,0.27,0.2156,0.057,0.4789,22546.28,1.0811,579.5,0.998603,0.3441
2023-01-02,Education,377,123.67,46624.42,0.9562,0.0438,0.0067,0.0076,0.0312,0.9445,0.0193,900.01,159.19,740.82,0.8231,0.42,0.5132,0.0417,0.4526,23534.28,1.0542,730.0,0.999347,0.6009
